,contract_address,contract_url,contract_name,nifty_name,store_url,nifty_date_created,num_pm_sales,num_sm_sales,avg_resale_price,highest_active_bid,lowest_active_ask,sm_market_volume,price
0,0x1a9efe6d9a7a977a938f03b1a549bdd9cd316432,https://niftygateway.com/itemdetail/primary/0x1a9efe6d9a7a977a938f03b1a549bdd9cd316432/1,Lavish,Lavish,https://niftygateway.com/collections/baeigeopen,2021-02-18T05:56:27.829604Z,701,377,80432,72500,0,35050000,79900.0
1,0xe1bd4b40079cd73d5d55426274a94ee662c0c67b,https://niftygateway.com/itemdetail/primary/0xe1bd4b40079cd73d5d55426274a94ee662c0c67b/1,Genesis.001,Genesis.001,https://niftygateway.com/collections/akuopen,2021-02-18T05:55:00.296306Z,1402,367,189453,350000,0,140059800,150000.0
2,0xe9be55ffedb6c2a2f3f8eac31c60d7f122f79958,https://niftygateway.com/itemdetail/primary/0xe9be55ffedb6c2a2f3f8eac31c60d7f122f79958/1,The Bitcoin Angel (Open Edition),The Bitcoin Angel (Open Edition),https://niftygateway.com/collections/palettetocanvasopen,2021-02-23T05:07:51.615684Z,4157,956,122059,160500,0,322998900,189800.0
3,0x43b557b1f923f1cb4ecd05ff3beac7b933bedb46,https://niftygateway.com/itemdetail/primary/0x43b557b1f923f1cb4ecd05ff3beac7b933bedb46/1,The Presentations,The Presentations,https://niftygateway.com/collections/justinroiland916,2021-01-19T07:52:26.659303Z,336,288,90124,90000,0,11188800,133200.0
4,0x41113bce4659cb4912ed61d48154839f75131d7a,https://niftygateway.com/itemdetail/primary/0x41113bce4659cb4912ed61d48154839f75131d7a/1,Le Anime,Le Anime,https://niftygateway.com/collections/toomuchlagoe,2021-03-02T21:24:46.871918Z,1553,280,153869,250000,0,120668100,110000.0
5,0xc77e89d380498b205fa9eb648c5a21054c5548cb,https://niftygateway.com/itemdetail/primary/0xc77e89d380498b205fa9eb648c5a21054c5548cb/1,MIXED FEELINGS,MIXED FEELINGS,https://niftygateway.com/collections/anotherworldopen,2021-02-18T05:48:35.210164Z,439,174,47635,50000,0,15365000,39500.0
6,0xb9abb6e7fdc06fe25ac96d3da1c3ef4651ec660a,https://niftygateway.com/itemdetail/primary/0xb9abb6e7fdc06fe25ac96d3da1c3ef4651ec660a/1,The Last Stand of the Nation State,The Last Stand of the Nation State,https://niftygateway.com/collections/slimesundayopen,2020-11-04T22:37:51.173706Z,415,316,300417,1000000,0,1660000,1600000.0
7,0xc77e89d380498b205fa9eb648c5a21054c5548cb,https://niftygateway.com/itemdetail/primary/0xc77e89d380498b205fa9eb648c5a21054c5548cb/1,NOWHERE,NOWHERE,https://niftygateway.com/collections/anotherworldopen,2021-02-18T05:48:35.211210Z,432,189,48273,35000,0,15120000,39500.0
8,0xd949a444f29ede73f517942eb4d8e3ccdab25d58,https://niftygateway.com/itemdetail/primary/0xd949a444f29ede73f517942eb4d8e3ccdab25d58/1,Why would I care I'm just a cat?,Why would I care I'm just a cat?,https://niftygateway.com/collections/crashburnopen,2021-02-18T02:02:56.531175Z,886,305,437755,555000,0,221500000,1030300.0
9,0x4c06461ce7fbc6f85ab54ccc80f9a4a4cf602b5c,https://niftygateway.com/itemdetail/primary/0x4c06461ce7fbc6f85ab54ccc80f9a4a4cf602b5c/1,Serpent,Serpent,https://niftygateway.com/collections/monstercatpack,2021-01-26T16:44:25.468398Z,127,191,23661,25100,0,6350,980000.0
10,0xe498ec1aff3c1460f6a818826443fd2a7817e775,https://niftygateway.com/itemdetail/primary/0xe498ec1aff3c1460f6a818826443fd2a7817e775/1,Fusion,Fusion,https://niftygateway.com/collections/thecollision,2020-12-17T16:50:40.097598Z,463,230,179964,450000,0,23150000,2184500.0
11,0xe498ec1aff3c1460f6a818826443fd2a7817e775,https://niftygateway.com/itemdetail/primary/0xe498ec1aff3c1460f6a818826443fd2a7817e775/1,Extrusion,Extrusion,https://niftygateway.com/collections/thecollision,2020-12-17T16:50:40.095312Z,453,234,182404,450000,0,22650000,2184500.0
12,0x3f133816f8178b93ac991a2c3eeddb8f947af0cb,https://niftygateway.com/itemdetail/primary/0x3f133816f8178b93ac991a2c3eeddb8f947af0cb/1,White Dota 2 Ring Still,White Dota 2 Ring Still,https://niftygateway.com/collections/ogesports,2021-01-22T17:16:49.832731Z,245,193,22530,21000,0,4875500,99999999.0
13,0x8ae06a29a816580cbd069e460dd57c6c964bb3da,https://niftygateway.com/itemdetail/primary/0x8ae06a29a816580cbd069e460dd57c6c964bb3da/1,Forever Mamba,Forever Mamba,https://niftygateway.com/collections/bosslogicopen,2021-01-28T16:27:00.136025Z,429,228,539205,1802400,0,35349600,1182400.0
14,0x76f71dcfd0bd0dbeb0ffc7decd0b327cb7dfdc84,https://niftygateway.com/itemdetail/primary/0x76f71dcfd0bd0dbeb0ffc7decd0b327cb7dfdc84/1,Plastic Mag (DeLorean),Plastic Mag (DeLorean),https://niftygateway.com/collections/tomyoo4,2021-01-13T20:36:33.192890Z,188,160,34176,100000,0,1880000,
15,0xa2d544196fdbc9da15a701c38bb60513c1802ef4,https://niftygateway.com/itemdetail/primary/0xa2d544196fdbc9da15a701c38bb60513c1802ef4/1,The Day I Decided to Fly,The Day I Decided to Fly,https://niftygateway.com/collections/byfewocious2open,2020-12-29T22:12:47.694009Z,268,168,207971,550000,0,9380000,1700000.0
16,0xb91c1aa27a2eb25228b5d1019ec6b24fe73c5535,https://niftygateway.com/itemdetail/primary/0xb91c1aa27a2eb25228b5d1019ec6b24fe73c5535/1,Tiggz,Tiggz,https://niftygateway.com/collections/goldweard2,2020-08-07T20:56:36.968625Z,219,214,19444,51000,0,876000,25000000.0
17,0x4c06461ce7fbc6f85ab54ccc80f9a4a4cf602b5c,https://niftygateway.com/itemdetail/primary/0x4c06461ce7fbc6f85ab54ccc80f9a4a4cf602b5c/1,King Fisher,King Fisher,https://niftygateway.com/collections/monstercatpack,2021-01-26T16:44:25.469314Z,130,165,22206,30000,0,6500,980000.0
18,0x3f133816f8178b93ac991a2c3eeddb8f947af0cb,https://niftygateway.com/itemdetail/primary/0x3f133816f8178b93ac991a2c3eeddb8f947af0cb/1,Grey Dota 2 Ring Still,Grey Dota 2 Ring Still,https://niftygateway.com/collections/ogesports,2021-01-22T17:16:49.831811Z,226,144,25481,25000,0,4497400,99999999.0
19,0xb91c1aa27a2eb25228b5d1019ec6b24fe73c5535,https://niftygateway.com/itemdetail/primary/0xb91c1aa27a2eb25228b5d1019ec6b24fe73c5535/1,Pandy,Pandy,https://niftygateway.com/collections/goldweard2,2020-08-07T20:56:36.966471Z,175,163,19341,50000,0,700000,25000000.0
20,0x3f133816f8178b93ac991a2c3eeddb8f947af0cb,https://niftygateway.com/itemdetail/primary/0x3f133816f8178b93ac991a2c3eeddb8f947af0cb/1,Blue Dota 2 Ring Still,Blue Dota 2 Ring Still,https://niftygateway.com/collections/ogesports,2021-01-22T17:16:49.830897Z,205,150,20397,33300,0,4079500,99999999.0
21,0x0974ec8c00c8c160d88e315579c00da6ca4e5e32,https://niftygateway.com/itemdetail/primary/0x0974ec8c00c8c160d88e315579c00da6ca4e5e32/1,It's flamingos all the way down,It's flamingos all the way down,https://niftygateway.com/collections/foreveryoneopen,2021-02-14T22:42:05.237100Z,448,141,63313,35555,0,10886400,55000.0
22,0xc633787348f652611c3166209d1fc4cd82b30ada,https://niftygateway.com/itemdetail/primary/0xc633787348f652611c3166209d1fc4cd82b30ada/1,FEWO DRIP,FEWO DRIP,https://niftygateway.com/collections/rtfktfewo,2021-02-25T06:36:30.959346Z,300,140,415905,200000,0,45000000,
